,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,price_level
5620,5620,"Imp. de la Colline 2, 1762 Givisiez, Switzerland",Migrol,ChIJoQDqDMZujkcRtsakqBVOQQU,4.4,48.0,46.8120507,7.1369232,True,,
5621,5621,"Rte d'Agy 1, 1763 Granges-Paccot, Switzerland",Coop Supermarché Granges-Paccot,ChIJaQRKpExpjkcRv_SH8sRtQjs,4.1,534.0,46.8204615,7.1530887,True,,
5622,5622,"Rte André Piller 18, 1762 Givisiez, Switzerland",Nouretera,ChIJ3b7vR_1vjkcRPhIKBDR0PC0,0.0,0.0,46.8132355,7.1225504,True,,
5623,5623,"Rte d'Englisberg 15B, 1763 Granges-Paccot, Switzerland",Migros,ChIJ_67ZJKxujkcRN1oasxn18Go,4.1,182.0,46.8288762,7.1469666,True,,
5624,5624,"Rte d'Englisberg 15b, 1763 Granges-Paccot, Switzerland",Denner,ChIJ_aRpIK9ujkcRQwsAamVA3_4,4.1,44.0,46.8289231,7.1467237,True,,
5625,5625,"Rte des Grives 4, 1763 Granges-Paccot, Switzerland",L'Epicerie Chana,ChIJ60j_fX9vjkcRojjeZCtKeGo,5.0,11.0,46.8203317,7.1519945,True,,
5626,5626,"Chem. de la Chapelle 1, 1763 Granges-Paccot, Switzerland",Hofladen,ChIJ2Sw4yJdujkcR44ProP20Idw,0.0,0.0,46.8248813,7.1285994,,,
5627,5627,"Rte de la Chenevière 1, 1763 Granges-Paccot, Switzerland",Coop Pronto avec station-service Granges-Paccot,ChIJ4XU4R65ujkcRSDAeEqB8UGc,4.1,215.0,46.82788009999999,7.1450977,True,,
5628,5628,"Rte d'Agy 4, 1763 Granges-Paccot, Switzerland",Interdiscount,ChIJTZbZZUtpjkcRjrd-w1Ro_40,4.1,128.0,46.8196597,7.1537725,True,,
5629,5629,"Rte de Morat 130, 1763 Granges-Paccot, Switzerland",Shell,ChIJI4YEObNujkcRAeo60ZaWYbc,4.0,37.0,46.8219339,7.1515993,True,,2.0
5630,5630,"Rte de Morat 1, 1763 Granges-Paccot, Switzerland",MediaMarkt Granges-Paccot,ChIJT6GpLrNujkcRu9WiHPmAdTo,3.9,1231.0,46.8182998,7.1533647,True,,
5631,5631,"Centre, Rte d'Agy 2, 1763 Granges-Paccot, Switzerland",SportXX,ChIJC5taYUtpjkcRUMOq0kpVbns,4.3,22.0,46.82064279999999,7.154338,True,,
5632,5632,"Allée de Reynold 15, 1763 Granges-Paccot, Switzerland",Gakomo,ChIJVypUZ_9pjkcR3eZ7-ygaQvs,5.0,6.0,46.822643,7.1543392,,,
5633,5633,"Rte d'Englisberg 1, 1763 Granges-Paccot, Switzerland",Conforama,ChIJnaVpIK9ujkcRUTN3u9E-_1A,3.6,2177.0,46.82941,7.14552,True,,
5634,5634,"Rte d'Agy 1, 1763 Granges-Paccot, Switzerland",Coop Vitality Agy,ChIJaQRKpExpjkcRAuTjXdWVN2A,5.0,3.0,46.820632,7.1529231,True,,
5635,5635,"Rue du Ctre 9, 1772 Grolley, Switzerland",Denner Partner,ChIJj_j__wNujkcR6WAyc_9wgeY,4.5,149.0,46.8320208,7.0652174,True,,
5636,5636,"Imp. du Gros Pra 99, 1772 Grolley, Switzerland",Albimadh,ChIJ9Zg6BuVvjkcRF07glfHKEXk,0.0,0.0,46.832415,7.075121299999999,,,
5637,5637,"Pl. de l'Eglise 3, 1772 Grolley, Switzerland","Laiterie Fromagerie de Grolley, Julien Eggertswyler",ChIJM4UjsgVujkcRbuxNDP8oyXI,4.1,28.0,46.83345480000001,7.071162699999999,False,,
5638,5638,"Rte du Parc Automobiles de l'Armée 25, 1772 Grolley, Switzerland",LANDI Moléson-Sarine SA,ChIJiwBBMeNxjkcR9ShhixqFSNU,4.3,112.0,46.8309769,7.058037100000001,True,,
5639,5639,"Rte de la Rosière 10, 1782 Belfaux, Switzerland",Coop Pronto avec station-service Belfaux,ChIJbbo5HGRujkcR8NwwctCKVCw,4.1,211.0,46.8239217,7.099399099999999,True,,
5644,5644,"Rte des Pralettes 1, 1723 Marly, Switzerland",Supermarché Migros,ChIJxWvnf79ojkcRwiOgr-YtFR8,3.9,319.0,46.776154,7.161238,True,,
5645,5645,"Imp. du Nouveau-Marché 7, 1723 Marly, Switzerland",Didim Market (Alimentation générale),ChIJr22fxYxpjkcR2FiBOqoPTXo,3.9,7.0,46.7835336,7.148474599999999,True,,
5646,5646,"Rte des Ecoles 47, 1723 Marly, Switzerland",Lidl,ChIJw9NwGcxojkcRZWAjNvscAE0,4.1,450.0,46.7829246,7.147450999999999,True,,
5649,5649,"Rte des Ecoles 48, 1723 Villarsel-sur-Marly, Switzerland",Aldi,ChIJE6xfXcxojkcRAR-eg-m8sb8,4.2,303.0,46.78198099999999,7.148317199999999,True,,
5651,5651,"Route de Pralette 1 Centre Commercial, 1723 Marly, Switzerland",Denner Express,ChIJ-fhvrOpojkcREwzyQQN1_ds,4.2,37.0,46.7759865,7.1612939,True,,
5658,5658,"Rte de Marly 19, 1700 Fribourg, Switzerland",avec | Tamoil Tankstelle,ChIJIxNbMtRpjkcRJICVOvuS4Yc,0.0,0.0,46.7914229,7.160769600000001,True,,
5659,5659,"Rte du Bois, 1753 Matran, Switzerland",Garden Centre Schilliger SA,ChIJVe2Cs5hvjkcRNWyhtvR4vwI,4.4,650.0,46.777893,7.09045,True,,
5660,5660,"Rte du Puits 3, 1740 Neyruz, Switzerland",Boulangerie-Pâtisserie-Epicerie Marchon Favre,ChIJoT4VDfNvjkcR2qxOoJvZU8s,4.5,49.0,46.768645,7.067130000000001,True,,2.0
5661,5661,"Rte de Fribourg 77, 1725 Posieux, Switzerland",Alimentation Bulliard Josiane,ChIJp2JWnoBljkcRTOQgy6UEh3M,0.0,0.0,46.760661,7.094811399999999,True,,
5662,5662,"Rue du Pont-Suspendu 12, 1700 Fribourg, Switzerland",Hores cash et carry P. Mauron,ChIJ6ym-JTtpjkcRckPOPSTIYww,0.0,0.0,46.8058625,7.1634065,True,,
5663,5663,"Place de la Gare 8, 1740 Neyruz, Switzerland",Amavita Neyruz,ChIJG4QwsVJvjkcRdafqJZz-QeA,5.0,2.0,46.7663326,7.064864,True,,
5664,5664,"Rte du Village 17, 1772 Ponthaux, Switzerland","Boucherie ""à la ferme"" à Ponthaux",ChIJ__8PBsRxjkcRyL6LdZ4PE_k,4.8,17.0,46.817358,7.041544999999999,True,,
5665,5665,"Frety 11, 1724 Le Mouret, Switzerland",Paysan Autrement,ChIJsxNz7qtnjkcR39RqgRjY3ak,4.8,16.0,46.751728,7.191228,,,
5666,5666,"Rte de l'Eglise 103, 1724 Le Mouret, Switzerland","Fromagerie de Praroman,",ChIJby3xWipmjkcRvTKgjYDeU8E,4.3,6.0,46.7538428,7.178367499999998,,,
5667,5667,"Chem. de la Croix Blanche 30, 1724 Le Mouret, Switzerland",Boucherie du Mouret,ChIJXcBAkTFmjkcRNKB0MqHQzvs,5.0,20.0,46.74461059999999,7.1726547,True,,
